기준연도,학교종류,설립구분,지역,상태,학교,"입학정원
(A)",모집인원,Unnamed: 8,Unnamed: 9,지원자,Unnamed: 11,Unnamed: 12,입학자,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
,,,,,,,계,"정원내
(B)",정원외,계,"정원내
(C)",정원외,계,정원내(D),,정원외,,,
,,,,,,,,,,,,,,남,여,남,여,,
2024.0,대학교,특별법법인,전남,기존,한국에너지공과대학교 ,100.0,110,100,10,1939,1756,183,105,70,26,6,3,96.0,17.6
2024.0,대학교,특별법법인,울산,기존,울산과학기술원 ,400.0,480,400,80,9154,6459,2695,483,256,137,63,27,98.3,16.1
2024.0,대학교,특별법법인,대전,기존,한국과학기술원 ,970.0,950,730,220,8413,7672,741,786,597,144,38,7,101.5,10.5
2024.0,대학교,특별법법인,대구,기존,대구경북과학기술원 ,200.0,230,200,30,5730,5156,574,205,98,77,24,6,87.5,25.8
2024.0,대학교,특별법법인,광주,기존,광주과학기술원 ,200.0,230,200,30,4037,3521,516,232,137,67,28,0,102.0,17.6
2024.0,대학교,특별법국립,충남,기존,한국전통문화대학교 ,140.0,161,140,21,975,956,19,145,49,91,2,3,100.0,6.8
2024.0,각종학교(대학),특별법국립,서울,기존,한국예술종합학교 ,558.0,596,558,38,13303,13107,196,556,168,368,7,13,96.1,23.5
2024.0,대학교,사립,충북,기존,세명대학교 ,1551.0,1648,1555,93,7508,6874,634,1474,728,663,41,42,89.5,4.4
2024.0,대학교,사립,충북,기존,서원대학교 ,1622.0,2272,1623,649,10809,9829,980,2066,753,870,295,148,100.0,6.1
2024.0,대학교,사립,충북,기존,중원대학교 ,812.0,847,774,73,2450,2330,120,744,402,317,12,13,92.9,3.0
2024.0,각종학교(대학),사립,충북,기존,순복음총회신학교 ,58.0,58,58,0,57,57,0,36,28,8,0,0,62.1,1.0
2024.0,대학교,사립,충북,기존,가톨릭꽃동네대학교 ,108.0,119,110,9,636,608,28,113,34,75,1,3,99.1,5.5
2024.0,대학교,사립,충북,기존,유원대학교 ,875.0,974,875,99,3426,3301,125,892,347,528,4,13,100.0,3.8
2024.0,대학교,사립,충북,기존,건국대학교(글로컬) _분교,1569.0,1747,1571,176,15887,15117,770,1690,689,882,53,66,100.0,9.6
2024.0,대학교,사립,충북,기존,청주대학교 ,2637.0,2857,2646,211,15725,15124,601,2788,1306,1324,82,76,99.4,5.7
