기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,"정원내
신입생충원율(%)
(B/A)x100"
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,,
,,,,,,,,남,여,남,여,,남,여,남,여,
2023.0,특수대학원,사립,경남,기존,가야대학교 보건대학원(김해) ,15.0,13,1,12,0,0,13,1,12,0,0,86.7
2023.0,일반대학원,사립,경남,기존,가야대학교 일반대학원(김해) ,13.0,1,1,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,경남,기존,가야대학교 항만물류대학원 ,20.0,0,0,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,경남,기존,가야대학교 행정대학원(김해) ,30.0,18,7,11,0,0,14,7,7,0,0,46.7
2023.0,특수대학원,사립,경기,기존,가천대학교 경영대학원 ,68.0,138,49,13,42,34,121,42,10,36,33,76.5
2023.0,특수대학원,사립,경기,기존,가천대학교 교육대학원 ,100.0,265,39,226,0,0,97,21,76,0,0,97.0
2023.0,특수대학원,사립,인천,기존,가천대학교 보건대학원 ,30.0,42,18,24,0,0,31,14,17,0,0,103.3
2023.0,특수대학원,사립,경기,기존,가천대학교 사회정책대학원 ,40.0,38,16,22,0,0,35,16,19,0,0,87.5
2023.0,특수대학원,사립,경기,기존,가천대학교 산업환경대학원 ,0.0,2,2,0,0,0,2,2,0,0,0,0.0
2023.0,일반대학원,사립,경기,기존,가천대학교 일반대학원 ,556.0,1438,320,272,298,548,962,247,198,175,342,80.0
2023.0,특수대학원,사립,경기,기존,가천대학교 특수치료대학원 ,115.0,324,32,292,0,0,110,18,92,0,0,95.7
2023.0,특수대학원,사립,강원,기존,가톨릭관동대학교 경영행정・창업대학원 ,50.0,22,14,6,2,0,17,10,6,1,0,32.0
2023.0,특수대학원,사립,강원,기존,가톨릭관동대학교 교육대학원 ,84.0,90,31,59,0,0,68,26,42,0,0,81.0
2023.0,특수대학원,사립,강원,기존,가톨릭관동대학교 사회복지대학원 ,40.0,54,11,43,0,0,40,8,32,0,0,100.0
2023.0,일반대학원,사립,강원,기존,가톨릭관동대학교 일반대학원 ,150.0,88,50,31,6,1,71,38,27,5,1,43.3
2023.0,일반대학원,사립,충북,신설,가톨릭꽃동네대학교 대학원 ,20.0,17,4,13,0,0,14,3,11,0,0,70.0
2023.0,특수대학원,사립,충북,신설,가톨릭꽃동네대학교 사회복지카리타스대학원 ,20.0,13,7,6,0,0,10,6,4,0,0,50.0
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 경영대학원 ,10.0,0,0,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 교육대학원 ,102.0,245,21,224,0,0,107,8,99,0,0,104.9
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 교회법대학원 ,12.0,4,4,0,0,0,3,3,0,0,0,25.0
2023.0,특수대학원,사립,서울,기존,가톨릭대학교 교회음악대학원 _제3캠퍼스,15.0,0,0,0,0,0,0,0,0,0,0,0.0
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 글로벌지식경영대학원 ,13.0,6,4,2,0,0,6,4,2,0,0,46.2
2023.0,일반대학원,사립,경기,기존,가톨릭대학교 대학원 ,243.0,790,163,302,119,206,387,84,123,66,114,85.2
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 문화영성대학원 ,15.0,14,3,11,0,0,11,3,8,0,0,73.3
2023.0,특수대학원,사립,서울,기존,가톨릭대학교 보건의료경영대학원 _제2캠퍼스,105.0,165,42,123,0,0,102,27,75,0,0,97.1
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 사회복지대학원 ,75.0,102,38,64,0,0,60,22,38,0,0,80.0
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 상담심리대학원 ,90.0,426,80,345,0,1,88,18,69,0,1,96.7
2023.0,특수대학원,사립,서울,기존,가톨릭대학교 생명대학원 _제2캠퍼스,25.0,22,8,14,0,0,19,7,12,0,0,76.0
2023.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제2캠퍼스,273.0,295,102,188,0,5,235,85,145,0,5,84.2
2023.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제3캠퍼스,55.0,46,40,6,0,0,43,37,6,0,0,78.2
2023.0,특수대학원,사립,서울,기존,가톨릭대학교 임상간호대학원 _제2캠퍼스,45.0,262,19,243,0,0,45,1,44,0,0,100.0
2023.0,특수대학원,사립,서울,기존,가톨릭대학교 임상치과학대학원 _제2캠퍼스,20.0,22,12,10,0,0,20,11,9,0,0,100.0
2023.0,특수대학원,사립,경기,기존,가톨릭대학교 행정대학원 ,35.0,17,3,14,0,0,11,0,11,0,0,31.4
2023.0,일반대학원,사립,서울,기존,감리교신학대학교 대학원 ,62.0,81,61,20,0,0,61,47,14,0,0,98.4
2023.0,특수대학원,사립,서울,폐교,감리교신학대학교 목회신학대학원 ,50.0,49,23,26,0,0,38,19,19,0,0,76.0
2023.0,특수대학원,사립,서울,폐교,감리교신학대학교 신학대학원 ,146.0,114,73,41,0,0,101,64,37,0,0,69.2
2023.0,특수대학원,사립,경기,기존,강남대학교 교육대학원 ,80.0,143,8,135,0,0,77,6,71,0,0,96.3
2023.0,특수대학원,사립,경기,기존,강남대학교 국제대학원 ,20.0,2,2,0,0,0,1,1,0,0,0,5.0
2023.0,일반대학원,사립,경기,기존,강남대학교 대학원 ,90.0,75,27,48,0,0,60,16,44,0,0,66.7
2023.0,특수대학원,사립,경기,기존,강남대학교 융복합대학원 ,92.0,40,14,26,0,0,33,12,21,0,0,35.9
2023.0,특수대학원,사립,서울,기존,강서대학교 교육대학원 ,15.0,13,0,8,0,5,13,0,8,0,5,53.3
2023.0,특수대학원,사립,서울,기존,강서대학교 사회복지대학원 ,15.0,15,4,7,1,3,12,2,6,1,3,53.3
2023.0,특수대학원,사립,서울,기존,강서대학교 신학대학원 ,15.0,25,6,1,6,12,6,5,1,0,0,40.0
2023.0,일반대학원,사립,서울,기존,강서대학교 일반대학원 ,24.0,36,11,4,12,9,22,9,4,6,3,54.2
2023.0,특수대학원,국립,강원,기존,강원대학교 경영대학원 ,57.0,35,25,10,0,0,34,24,10,0,0,59.6
2023.0,특수대학원,국립,강원,기존,강원대학교 교육대학원 ,160.0,174,59,115,0,0,63,29,34,0,0,39.4
2023.0,특수대학원,국립,강원,기존,강원대학교 녹색생명산업정책대학원 ,30.0,24,17,7,0,0,17,11,6,0,0,56.7
2023.0,전문대학원,국립,강원,기존,강원대학교 방재전문대학원 _제2캠퍼스,40.0,24,22,2,0,0,24,22,2,0,0,60.0
2023.0,전문대학원,국립,강원,기존,강원대학교 법학전문대학원 ,40.0,243,109,134,0,0,44,24,20,0,0,110.0
2023.0,특수대학원,국립,강원,기존,강원대학교 산업과학대학원 _제2캠퍼스,46.0,35,23,12,0,0,35,23,12,0,0,76.1
2023.0,특수대학원,국립,강원,기존,강원대학교 산업대학원 ,47.0,25,21,4,0,0,18,15,3,0,0,38.3
