기준연도,학교종류,설립구분,지역,상태,대학원명,입학정원(A),지원자,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,입학자,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,계,정원내,,정원외,,계,정원내(B),,정원외,
,,,,,,,,남,여,남,여,,남,여,남,여
2024.0,특수대학원,사립,경남,기존,가야대학교 보건대학원(김해) ,15.0,11,1,10,0,0,10,0,10,0,0
2024.0,일반대학원,사립,경남,기존,가야대학교 일반대학원(김해) ,13.0,5,2,3,0,0,5,2,3,0,0
2024.0,특수대학원,사립,경남,기존,가야대학교 항만물류대학원 ,20.0,0,0,0,0,0,0,0,0,0,0
2024.0,특수대학원,사립,경남,기존,가야대학교 행정대학원(김해) ,30.0,25,5,20,0,0,23,4,19,0,0
2024.0,특수대학원,사립,경기,기존,가천대학교 경영대학원 ,68.0,168,69,22,44,33,149,64,21,35,29
2024.0,특수대학원,사립,경기,기존,가천대학교 교육대학원 ,100.0,231,39,192,0,0,116,23,93,0,0
2024.0,특수대학원,사립,인천,기존,가천대학교 보건대학원 ,30.0,57,19,36,2,0,32,11,19,2,0
2024.0,특수대학원,사립,경기,기존,가천대학교 사회정책대학원 ,40.0,56,31,22,3,0,47,27,18,2,0
2024.0,일반대학원,사립,경기,기존,가천대학교 일반대학원 ,778.0,1725,312,275,365,773,1185,265,205,193,522
2024.0,특수대학원,사립,경기,기존,가천대학교 특수치료대학원 ,115.0,343,43,300,0,0,122,20,102,0,0
2024.0,특수대학원,사립,강원,기존,가톨릭관동대학교 경영행정・창업대학원 ,50.0,36,16,13,3,4,29,14,11,1,3
2024.0,특수대학원,사립,강원,기존,가톨릭관동대학교 교육대학원 ,84.0,135,40,95,0,0,82,27,55,0,0
2024.0,특수대학원,사립,강원,기존,가톨릭관동대학교 사회복지대학원 ,40.0,57,10,45,1,1,42,9,31,1,1
2024.0,일반대학원,사립,강원,기존,가톨릭관동대학교 일반대학원 ,150.0,119,63,50,4,2,98,52,42,3,1
2024.0,일반대학원,사립,충북,신설,가톨릭꽃동네대학교 대학원 ,20.0,22,5,17,0,0,18,3,15,0,0
2024.0,특수대학원,사립,충북,신설,가톨릭꽃동네대학교 사회복지카리타스대학원 ,20.0,21,8,13,0,0,20,8,12,0,0
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 경영대학원 ,10.0,70,5,13,28,24,42,5,13,14,10
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 교육대학원 ,102.0,232,18,214,0,0,98,10,88,0,0
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 교회법대학원 ,12.0,3,3,0,0,0,3,3,0,0,0
2024.0,특수대학원,사립,서울,기존,가톨릭대학교 교회음악대학원 _제3캠퍼스,15.0,9,1,8,0,0,8,1,7,0,0
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 글로벌지식경영대학원 ,13.0,1,1,0,0,0,0,0,0,0,0
2024.0,일반대학원,사립,경기,기존,가톨릭대학교 대학원 ,243.0,871,149,338,153,231,369,65,141,68,95
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 문화영성대학원 ,15.0,8,2,6,0,0,8,2,6,0,0
2024.0,특수대학원,사립,서울,기존,가톨릭대학교 보건의료경영대학원 _제2캠퍼스,105.0,172,47,124,0,1,102,27,74,0,1
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 사회복지대학원 ,75.0,95,24,71,0,0,60,15,45,0,0
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 상담심리대학원 ,90.0,457,93,363,0,1,95,16,78,0,1
2024.0,특수대학원,사립,서울,기존,가톨릭대학교 생명대학원 _제2캠퍼스,25.0,21,5,16,0,0,18,5,13,0,0
2024.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제2캠퍼스,283.0,378,137,236,3,2,281,113,165,2,1
2024.0,일반대학원,사립,서울,기존,가톨릭대학교 일반대학원 _제3캠퍼스,55.0,35,32,3,0,0,33,31,2,0,0
2024.0,특수대학원,사립,서울,기존,가톨릭대학교 임상간호대학원 _제2캠퍼스,45.0,303,18,285,0,0,45,4,41,0,0
2024.0,특수대학원,사립,서울,기존,가톨릭대학교 임상치과학대학원 _제2캠퍼스,20.0,23,14,9,0,0,16,10,6,0,0
2024.0,특수대학원,사립,경기,기존,가톨릭대학교 행정대학원 ,35.0,38,8,30,0,0,31,6,25,0,0
2024.0,일반대학원,사립,서울,기존,감리교신학대학교 대학원 ,62.0,87,62,25,0,0,62,40,22,0,0
2024.0,특수대학원,사립,서울,폐교,감리교신학대학교 목회신학대학원 ,50.0,53,27,25,0,1,44,22,21,0,1
2024.0,특수대학원,사립,서울,폐교,감리교신학대학교 신학대학원 ,146.0,145,86,59,0,0,125,74,51,0,0
2024.0,특수대학원,사립,경기,기존,강남대학교 교육대학원 ,80.0,126,7,119,0,0,88,5,83,0,0
2024.0,특수대학원,사립,경기,기존,강남대학교 국제대학원 ,20.0,0,0,0,0,0,0,0,0,0,0
2024.0,일반대학원,사립,경기,기존,강남대학교 대학원 ,90.0,72,35,37,0,0,55,25,30,0,0
2024.0,특수대학원,사립,경기,기존,강남대학교 융복합대학원 ,92.0,41,20,21,0,0,35,16,19,0,0
2024.0,특수대학원,사립,서울,기존,강서대학교 교육대학원 ,15.0,17,1,5,1,10,15,1,3,1,10
2024.0,특수대학원,사립,서울,기존,강서대학교 사회복지대학원 ,15.0,22,6,5,3,8,19,5,3,3,8
2024.0,특수대학원,사립,서울,기존,강서대학교 신학대학원 ,15.0,7,5,2,0,0,5,3,2,0,0
2024.0,일반대학원,사립,서울,기존,강서대학교 일반대학원 ,24.0,53,11,22,11,9,39,8,14,10,7
2024.0,특수대학원,국립,강원,기존,강원대학교 경영대학원 ,57.0,33,13,20,0,0,32,13,19,0,0
2024.0,특수대학원,국립,강원,기존,강원대학교 교육대학원 ,160.0,171,62,109,0,0,71,29,42,0,0
2024.0,특수대학원,국립,강원,기존,강원대학교 녹색생명산업정책대학원 ,30.0,26,14,12,0,0,22,13,9,0,0
2024.0,전문대학원,국립,강원,기존,강원대학교 방재전문대학원 _제2캠퍼스,40.0,15,14,1,0,0,15,14,1,0,0
2024.0,전문대학원,국립,강원,기존,강원대학교 법학전문대학원 ,40.0,230,107,123,0,0,42,23,19,0,0
2024.0,특수대학원,국립,강원,기존,강원대학교 산업과학대학원 _제2캠퍼스,46.0,28,19,9,0,0,28,19,9,0,0
2024.0,특수대학원,국립,강원,기존,강원대학교 산업대학원 ,47.0,24,21,3,0,0,16,15,1,0,0
2024.0,일반대학원,국립,강원,기존,강원대학교 일반대학원 ,926.0,1590,622,452,267,249,1228,518,365,166,179
2024.0,특수대학원,국립,강원,기존,강원대학교 정보과학・행정대학원 ,85.0,54,29,25,0,0,46,24,22,0,0
2024.0,전문대학원,사립,서울,기존,건국대학교 건축전문대학원 ,61.0,239,110,129,0,0,67,25,42,0,0
2024.0,전문대학원,사립,서울,기존,건국대학교 경영전문대학원 ,50.0,89,50,39,0,0,40,29,11,0,0
2024.0,특수대학원,사립,서울,기존,건국대학교 교육대학원 ,260.0,760,153,607,0,0,262,49,213,0,0
