기준연도,학교종류,설립구분,지역,상태,학교,"입학정원
(A)",모집인원,Unnamed: 8,Unnamed: 9,지원자,Unnamed: 11,Unnamed: 12,입학자,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"정원내
신입생 충원율(%)
(D/B) × 100","경쟁률
(C/B)"
,,,,,,,계,"정원내
(B)",정원외,계,"정원내
(C)",정원외,계,정원내(D),,정원외,,,
,,,,,,,,,,,,,,남,여,남,여,,
2024.0,기능대학,사립,경기,기존,ICT폴리텍대학 ,160.0,192,160,32,476,435,41,154,132,16,6,0,92.5,2.7
2024.0,전문대학,사립,경북,기존,가톨릭상지대학교 ,549.0,848,549,299,2315,1868,447,752,182,344,56,170,95.8,3.4
2024.0,전문대학,사립,충북,기존,강동대학교 ,1191.0,1695,1191,504,5054,4364,690,1380,443,669,90,178,93.4,3.7
2024.0,전문대학,사립,강원,기존,강릉영동대학교 ,809.0,1088,808,280,3032,2223,809,1156,392,357,217,190,92.7,2.8
2024.0,전문대학,공립,강원,기존,강원도립대학교 ,314.0,314,314,0,1065,1065,0,314,185,129,0,0,100.0,3.4
2024.0,전문대학,사립,경남,기존,거제대학교 ,357.0,464,357,107,1900,1622,278,448,169,188,42,49,100.0,4.5
2024.0,전문대학,사립,경기,기존,경기과학기술대학교 ,1330.0,3134,1330,1804,9667,8269,1398,1938,878,364,553,143,93.4,6.2
2024.0,전문대학,공립,경남,기존,경남도립거창대학 ,354.0,419,354,65,1184,1109,75,396,206,148,31,11,100.0,3.1
2024.0,전문대학,공립,경남,기존,경남도립남해대학 ,350.0,412,350,62,1154,1087,67,389,214,136,23,16,100.0,3.1
2024.0,전문대학,사립,부산,기존,경남정보대학교 ,2009.0,3531,2009,1522,17288,14786,2502,2309,789,888,249,383,83.5,7.4
2024.0,전문대학,사립,경기,기존,경민대학교 ,1498.0,2212,1498,714,10169,8890,1279,1931,777,721,218,215,100.0,5.9
2024.0,전문대학,사립,경기,기존,경복대학교 ,1788.0,2652,1788,864,11501,9926,1575,2427,620,1134,162,511,98.1,5.6
2024.0,전문대학,사립,경북,기존,경북과학대학교 ,662.0,957,662,295,1912,1550,362,865,208,454,58,145,100.0,2.3
2024.0,전문대학,공립,경북,폐교,경북도립대학교 ,346.0,416,346,70,625,572,53,215,130,56,15,14,53.8,1.7
2024.0,전문대학,사립,경북,기존,경북보건대학교 ,359.0,477,335,142,2387,1993,394,416,91,244,11,70,100.0,5.9
