읍면동,연령5세구간,인구수
광덕면,0-4,23
광덕면,5-9,40
광덕면,10-14,62
광덕면,15-19,62
광덕면,20-24,95
광덕면,25-29,124
광덕면,30-34,139
광덕면,35-39,119
광덕면,40-44,131
광덕면,45-49,192
광덕면,50-54,275
광덕면,55-59,410
광덕면,60-64,589
광덕면,65-69,562
광덕면,70-74,420
광덕면,75-79,286
광덕면,80-84,211
광덕면,85+,256
동면,0-4,6
동면,5-9,6
동면,10-14,10
동면,15-19,27
동면,20-24,40
동면,25-29,49
동면,30-34,37
동면,35-39,32
동면,40-44,52
동면,45-49,66
동면,50-54,113
동면,55-59,184
동면,60-64,317
동면,65-69,258
동면,70-74,234
동면,75-79,162
동면,80-84,150
동면,85+,162
목천읍,0-4,279
목천읍,5-9,527
목천읍,10-14,961
목천읍,15-19,1108
목천읍,20-24,1147
목천읍,25-29,1187
목천읍,30-34,980
목천읍,35-39,870
목천읍,40-44,1396
목천읍,45-49,1811
목천읍,50-54,2477
목천읍,55-59,2358
목천읍,60-64,2186
목천읍,65-69,1747
목천읍,70-74,1125
목천읍,75-79,810
목천읍,80-84,647
목천읍,85+,647
문성동,0-4,341
문성동,5-9,255
문성동,10-14,288
문성동,15-19,348
문성동,20-24,453
문성동,25-29,575
문성동,30-34,770
문성동,35-39,603
문성동,40-44,598
문성동,45-49,624
문성동,50-54,604
문성동,55-59,589
문성동,60-64,539
문성동,65-69,481
문성동,70-74,287
문성동,75-79,211
문성동,80-84,133
문성동,85+,109
백석동,0-4,1308
백석동,5-9,2349
백석동,10-14,3477
백석동,15-19,2842
백석동,20-24,2121
백석동,25-29,2477
백석동,30-34,2581
백석동,35-39,3038
백석동,40-44,4253
백석동,45-49,3891
백석동,50-54,3605
백석동,55-59,3004
백석동,60-64,2294
백석동,65-69,1549
백석동,70-74,760
백석동,75-79,477
백석동,80-84,313
백석동,85+,297
병천면,0-4,49
병천면,5-9,88
병천면,10-14,155
병천면,15-19,147
병천면,20-24,349
병천면,25-29,333
병천면,30-34,243
병천면,35-39,225
병천면,40-44,294
병천면,45-49,345
병천면,50-54,476
병천면,55-59,604
병천면,60-64,698
병천면,65-69,649
병천면,70-74,458
병천면,75-79,326
병천면,80-84,231
병천면,85+,282
봉명동,0-4,406
봉명동,5-9,437
봉명동,10-14,607
봉명동,15-19,646
봉명동,20-24,926
봉명동,25-29,1267
봉명동,30-34,1327
봉명동,35-39,1077
봉명동,40-44,1207
