암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzIxIyQxIyQxIyQwMyQyNjE0ODEjNzEjJDEjJDgjJDgz,123한의원,93,한의원,340000,충남,340202,천안동남구,사직동,31130,"충청남도 천안시 동남구 대흥로 127, (사직동, 천안세브란스의원)",041-558-1100,,2006-07-10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.1485189,36.8005598
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQwMyQyNjE0ODEjODEjJDEjJDYjJDgz,123한의원,93,한의원,340000,충남,340201,천안서북구,입장면,31055,"충청남도 천안시 서북구 입장면 입장로 130, 2층",041-587-1236,,2014-05-15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,127.2218806,36.9127194
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMTkxIzExIyQxIyQ3IyQ5OSQzNjE4MzIjNjEjJDEjJDQjJDgz,35스마트플란트치과의원,51,치과의원,340000,충남,340202,천안동남구,신부동,31120,"충청남도 천안시 동남구 만남로 15, 민현빌딩 4층 (신부동)",041-568-2875,,2022-02-18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,127.1539439,36.8190772
JDQ4MTYyMiM2MSMkMSMkMiMkMTMkNDgxMzUxIzIxIyQxIyQxIyQ5OSQzNjEyMjIjNTEjJDEjJDIjJDgz,365경희한의원,93,한의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당22대로 67, 강남프라자 5층 502호 (불당동)",041-565-1000,,2018-08-16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,127.1065681,36.8165302
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ5OSQzNjE0ODEjNzEjJDEjJDgjJDgz,365아홉가지약속치과의원,51,치과의원,340000,충남,340202,천안동남구,신부동,31123,"충청남도 천안시 동남구 만남로 18, 1,2층 (신부동, 휴먼빌딩)",041-557-2875,,2009-01-21,4,0,0,0,0,3,0,0,1,0,0,0,0,0,127.1540122,36.8184252
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ4MiQyNjE0ODEjNDEjJDEjJDQjJDgz,365엠씨의원,31,의원,340000,충남,340201,천안서북구,,31156,"충청남도 천안시 서북구 불당21로 67-26, 2층 204,205호 (불당동)",041-414-0365,,2023-06-21,2,1,0,0,1,0,0,0,0,0,0,0,0,0,127.1087327,36.8147888
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQyIyQzIyQwMCQ0NjE0ODEjNjEjJDEjJDgjJDgz,365열린메디컬의원,31,의원,340000,충남,340201,천안서북구,성정동,31109,"충청남도 천안시 서북구 쌍용대로 348, 2층 202,202-1호 (성정동, 에프엠21)",041-554-1119,,2017-03-02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1380234,36.8283783
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzExIyQxIyQ3IyQxMyQzNjE4MzIjODEjJDEjJDIjJDgz,365웰니스의원,31,의원,340000,충남,340201,천안서북구,쌍용동,31175,"충청남도 천안시 서북구 충무로 172, 범양건영 2,3,5층 (쌍용동)",041-592-1339,,2007-03-12,2,1,0,0,1,0,0,0,0,0,0,0,0,0,127.1264606,36.7939998
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,CNP차앤박피부과의원,31,의원,340000,충남,340201,천안서북구,불당동,31156,"충청남도 천안시 서북구 불당33길 24, 6층 602,603,604호 (불당동)",041-552-1199,http://www.cnpskin.com,2002-08-28,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.1082039,36.8124074
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzMxIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,JS메디칼내과외과정형외과의원,31,의원,340000,충남,340201,천안서북구,직산읍,31037,"충청남도 천안시 서북구 직산읍 봉주로 51, (직산읍)",041-589-7575,,2006-07-28,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.152227,36.8775039
