학교명,주소,학교구분명,대학구분명
연암대학교,"충청남도 천안시 서북구 성환읍 연암로 313 (수향리, 천안연암대학)",전문대학,전문대학
백석문화대학교,충청남도 천안시 동남구 백석대학로 1 (안서동),전문대학,전문대학
국립공주대학교 테크노융합대학원,"충청남도 천안시 서북구 천안대로 1223-24 (부대동, 공주대학교천안공과대학)",특수대학원,대학원
고신대학교 신학대학원,충청남도 천안시 동남구 충절로 535-33 (삼룡동),특수대학원,대학원
글로벌사이버대학교,"충청남도 천안시 동남구 목천읍 교천지산길 284-88 (지산리, 글로벌사이버대학교)",사이버대학(대학),대학
나사렛대학교,"충청남도 천안시 서북구 월봉로 48 (쌍용동, 나사렛대학교)",대학교,대학
남서울대학교,"충청남도 천안시 서북구 성환읍 대학로 91 (매주리, 남서울대학교)",대학교,대학
단국대학교,"충청남도 천안시 동남구 단대로 119 (안서동, 단국대학교천안캠퍼스)",대학교,대학
상명대학교,"충청남도 천안시 동남구 상명대길 31 (안서동, 상명대학교천안캠퍼스)",대학교,대학
한국기술교육대학교,"충청남도 천안시 동남구 병천면 충절로 1600 (가전리, 한국기술교육대학교)",대학교,대학
한국기술교육대학교 테크노인력개발전문대,"충청남도 천안시 서북구 과수원길 18 (부대동, 한국기술교육대학교두정IOC캠퍼스)",전문대학원,대학원
