읍면동,연령5세구간,인구수
광덕면,0-4,32
광덕면,5-9,74
광덕면,10-14,91
광덕면,15-19,98
광덕면,20-24,165
광덕면,25-29,186
광덕면,30-34,136
광덕면,35-39,149
광덕면,40-44,183
광덕면,45-49,244
광덕면,50-54,369
광덕면,55-59,470
광덕면,60-64,593
광덕면,65-69,486
광덕면,70-74,315
광덕면,75-79,249
광덕면,80-84,241
광덕면,85+,214
동면,0-4,9
동면,5-9,15
동면,10-14,30
동면,15-19,39
동면,20-24,78
동면,25-29,57
동면,30-34,46
동면,35-39,43
동면,40-44,69
동면,45-49,100
동면,50-54,161
동면,55-59,247
동면,60-64,286
동면,65-69,256
동면,70-74,181
동면,75-79,169
동면,80-84,154
동면,85+,152
목천읍,0-4,598
목천읍,5-9,1008
목천읍,10-14,1294
목천읍,15-19,1319
목천읍,20-24,1628
목천읍,25-29,1236
목천읍,30-34,1036
목천읍,35-39,1401
목천읍,40-44,1917
목천읍,45-49,2451
목천읍,50-54,2482
목천읍,55-59,2025
목천읍,60-64,1983
목천읍,65-69,1214
목천읍,70-74,881
목천읍,75-79,722
목천읍,80-84,590
목천읍,85+,489
문성동,0-4,94
문성동,5-9,69
문성동,10-14,79
문성동,15-19,140
문성동,20-24,272
문성동,25-29,375
문성동,30-34,290
문성동,35-39,272
문성동,40-44,268
문성동,45-49,299
문성동,50-54,325
문성동,55-59,418
문성동,60-64,495
문성동,65-69,313
문성동,70-74,225
문성동,75-79,164
문성동,80-84,119
문성동,85+,89
백석동,0-4,2031
백석동,5-9,3441
백석동,10-14,3201
백석동,15-19,2451
백석동,20-24,2636
백석동,25-29,2458
백석동,30-34,2658
백석동,35-39,3996
백석동,40-44,4243
백석동,45-49,3641
백석동,50-54,3230
백석동,55-59,2412
백석동,60-64,1804
백석동,65-69,916
백석동,70-74,545
백석동,75-79,359
백석동,80-84,254
백석동,85+,221
병천면,0-4,85
병천면,5-9,150
병천면,10-14,180
병천면,15-19,187
병천면,20-24,365
병천면,25-29,372
병천면,30-34,241
병천면,35-39,303
병천면,40-44,335
병천면,45-49,398
병천면,50-54,551
병천면,55-59,598
병천면,60-64,675
병천면,65-69,516
병천면,70-74,370
병천면,75-79,272
병천면,80-84,245
병천면,85+,245
봉명동,0-4,482
봉명동,5-9,582
봉명동,10-14,652
봉명동,15-19,755
봉명동,20-24,1285
봉명동,25-29,1575
봉명동,30-34,1235
봉명동,35-39,1250
봉명동,40-44,1315
봉명동,45-49,1583
봉명동,50-54,1711
봉명동,55-59,1517
봉명동,60-64,1570
봉명동,65-69,970
봉명동,70-74,654
봉명동,75-79,427
봉명동,80-84,303
봉명동,85+,224
부성1동,0-4,2075
부성1동,5-9,1884
부성1동,10-14,1870
부성1동,15-19,2233
부성1동,20-24,4408
부성1동,25-29,5797
부성1동,30-34,5041
부성1동,35-39,4314
부성1동,40-44,3806
부성1동,45-49,3691
부성1동,50-54,3793
부성1동,55-59,2920
부성1동,60-64,2011
부성1동,65-69,1066
부성1동,70-74,732
부성1동,75-79,547
부성1동,80-84,382
부성1동,85+,302
부성2동,0-4,4630
부성2동,5-9,4575
부성2동,10-14,2950
부성2동,15-19,2177
부성2동,20-24,3140
부성2동,25-29,4915
부성2동,30-34,7282
부성2동,35-39,8140
부성2동,40-44,5732
부성2동,45-49,3892
부성2동,50-54,3395
부성2동,55-59,2439
부성2동,60-64,1718
부성2동,65-69,901
부성2동,70-74,517
부성2동,75-79,312
부성2동,80-84,246
부성2동,85+,208
북면,0-4,45
북면,5-9,79
북면,10-14,101
북면,15-19,121
북면,20-24,209
북면,25-29,187
북면,30-34,162
북면,35-39,171
북면,40-44,220
북면,45-49,292
북면,50-54,362
북면,55-59,471
북면,60-64,606
북면,65-69,414
북면,70-74,290
북면,75-79,212
북면,80-84,222
북면,85+,193
불당동,0-4,4409
불당동,5-9,5933
불당동,10-14,5104
불당동,15-19,4408
불당동,20-24,4214
불당동,25-29,4549
불당동,30-34,6304
불당동,35-39,7904
불당동,40-44,7534
불당동,45-49,6692
불당동,50-54,5508
불당동,55-59,3321
불당동,60-64,1956
불당동,65-69,950
불당동,70-74,516
불당동,75-79,343
불당동,80-84,281
불당동,85+,224
성거읍,0-4,703
