정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
CAB285000889,천안여상입구,36.80469794,127.13214075,2024-10-28,889.0,34010,충청남도 천안시,천안BIS
CAB285000890,열린치과,36.80322966,127.12904741,2024-10-28,890.0,34010,충청남도 천안시,천안BIS
CAB285000891,천안컨벤션센터,36.80440961,127.12775407,2024-10-28,891.0,34010,충청남도 천안시,천안BIS
CAB285000892,천안컨벤션센터,36.8046713,127.12763241,2024-10-28,892.0,34010,충청남도 천안시,천안BIS
CAB285000893,일성아파트,36.8076207,127.12994453,2024-10-28,893.0,34010,충청남도 천안시,천안BIS
CAB285000894,일성아파트,36.80777398,127.13021867,2024-10-28,894.0,34010,충청남도 천안시,천안BIS
CAB285000895,천안고등학교,36.80727629,127.1353874,2024-10-28,895.0,34010,충청남도 천안시,천안BIS
CAB285000896,쌍용패션거리,36.80204793,127.13170574,2024-10-28,886.0,34010,충청남도 천안시,천안BIS
CAB285000897,봉명동행정복지센터,36.80626519,127.13971181,2024-10-28,897.0,34010,충청남도 천안시,천안BIS
CAB285000898,순천향병원,36.80334963,127.13921574,2024-10-28,898.0,34010,충청남도 천안시,천안BIS
CAB285000899,순천향병원,36.8033077,127.13899118,2024-10-28,899.0,34010,충청남도 천안시,천안BIS
CAB285000901,공작아파트 입구,36.80882577,127.14030883,2024-10-28,901.0,34010,충청남도 천안시,천안BIS
CAB285000902,공작아파트 입구,36.8095127,127.14072687,2024-10-28,902.0,34010,충청남도 천안시,천안BIS
CAB285000903,성정사거리,36.8126215,127.1412442,2024-10-28,903.0,34010,충청남도 천안시,천안BIS
CAB285000904,성정사거리,36.8129921,127.1415788,2024-10-28,904.0,34010,충청남도 천안시,천안BIS
CAB285000905,성정초등학교,36.81538944,127.14194237,2024-10-28,905.0,34010,충청남도 천안시,천안BIS
CAB285000906,성정초등학교,36.81542798,127.14214074,2024-10-28,906.0,34010,충청남도 천안시,천안BIS
CAB285000907,성정1동행정복지센터,36.81729464,127.14259575,2024-10-28,907.0,34010,충청남도 천안시,천안BIS
CAB285000908,성정1동행정복지센터,36.81804075,127.14260215,2024-10-28,908.0,34010,충청남도 천안시,천안BIS
CAB285000909,봉정사거리,36.8192104,127.1430792,2024-10-28,909.0,34010,충청남도 천안시,천안BIS
CAB285000910,봉정사거리,36.8198188,127.1430595,2024-10-28,910.0,34010,충청남도 천안시,천안BIS
CAB285000911,대우목화아파트,36.82148303,127.14346251,2024-10-28,911.0,34010,충청남도 천안시,천안BIS
CAB285000912,성정대우목화,36.82170799,127.14368907,2024-10-28,912.0,34010,충청남도 천안시,천안BIS
CAB285000913,서부19길입구,36.8242063,127.14432241,2024-10-28,913.0,34010,충청남도 천안시,천안BIS
CAB285000914,서부19길입구,36.8244937,127.14418087,2024-10-28,914.0,34010,충청남도 천안시,천안BIS
CAB285000915,신라스테이(인쇄창),36.82553464,127.14334074,2024-10-28,915.0,34010,충청남도 천안시,천안BIS
CAB285000916,성정동롯데마트,36.8256817,127.1402805,2024-10-28,916.0,34010,충청남도 천안시,천안BIS
CAB285000917,롯데마트,36.82562348,127.13930419,2024-10-28,917.0,34010,충청남도 천안시,천안BIS
CAB285000918,천안고용센터,36.82538294,127.14208908,2024-10-28,918.0,34010,충청남도 천안시,천안BIS
CAB285000919,광제산부인과,36.82439687,127.14070587,2024-10-28,919.0,34010,충청남도 천안시,천안BIS
CAB285000920,광제산부인과,36.82431443,127.14051901,2024-10-28,920.0,34010,충청남도 천안시,천안BIS
CAB285000921,천안서초등학교,36.821672,127.139899,2024-10-28,921.0,34010,충청남도 천안시,천안BIS
CAB285000922,천안서초등학교,36.82112413,127.1398709,2024-10-28,922.0,34010,충청남도 천안시,천안BIS
CAB285000923,"성정2동행정복지센터,건강생활지원센터",36.8196834,127.13940502,2024-10-28,923.0,34010,충청남도 천안시,천안BIS
CAB285000924,"성정2동행정복지센터,건강생활지원센터",36.81945838,127.13944116,2024-10-28,924.0,34010,충청남도 천안시,천안BIS
CAB285000925,늘푸른극동아파트,36.82833528,127.13326875,2024-10-28,925.0,34010,충청남도 천안시,천안BIS
CAB285000926,늘푸른극동아파트,36.82980669,127.13308139,2024-10-28,926.0,34010,충청남도 천안시,천안BIS
CAB285000927,천안성정동우체국,36.83084794,127.13337908,2024-10-28,927.0,34010,충청남도 천안시,천안BIS
CAB285000928,천안고용노동지청,36.8332067,127.1333439,2024-10-28,928.0,34010,충청남도 천안시,천안BIS
CAB285000929,두정고등학교,36.8344363,127.13364407,2024-10-28,929.0,34010,충청남도 천안시,천안BIS
CAB285000930,두정우성아파트,36.83636116,127.13347875,2024-10-28,930.0,34010,충청남도 천안시,천안BIS
CAB285000931,두정한성아파트,36.83641912,127.13372435,2024-10-28,931.0,34010,충청남도 천안시,천안BIS
CAB285000932,두정경남아너스빌,36.83763632,127.13829741,2024-10-28,932.0,34010,충청남도 천안시,천안BIS
CAB285000933,두정계룡리슈빌,36.83755463,127.13820575,2024-10-28,933.0,34010,충청남도 천안시,천안BIS
CAB285000934,두정중학교,36.83547129,127.13835575,2024-10-28,934.0,34010,충청남도 천안시,천안BIS
CAB285000935,두정양돈농협,36.8335726,127.1380377,2024-10-28,935.0,34010,충청남도 천안시,천안BIS
CAB285000936,성정중학교,36.83070794,127.13796075,2024-10-28,936.0,34010,충청남도 천안시,천안BIS
CAB285000937,성정중학교,36.8299568,127.1377217,2024-10-28,937.0,34010,충청남도 천안시,천안BIS
CAB285000938,성정평생학습관,36.82724299,127.13757907,2024-10-28,938.0,34010,충청남도 천안시,천안BIS
CAB285000939,두정 하이마트,36.82648794,127.13440741,2024-10-28,939.0,34010,충청남도 천안시,천안BIS
CAB285000940,6단지후문,36.82598924,127.13577655,2024-10-28,940.0,34010,충청남도 천안시,천안BIS
CAB285000941,성정현대아파트,36.8244927,127.13713856,2024-10-28,941.0,34010,충청남도 천안시,천안BIS
CAB285000942,성정현대아파트,36.82442769,127.13693711,2024-10-28,942.0,34010,충청남도 천안시,천안BIS
CAB285000943,성정선경아파트,36.8213033,127.1361433,2024-10-28,943.0,34010,충청남도 천안시,천안BIS
CAB285000944,성정선경아파트,36.82130796,127.13639574,2024-10-28,944.0,34010,충청남도 천안시,천안BIS
CAB285000945,구상골사거리,36.81704051,127.13513663,2024-10-28,945.0,34010,충청남도 천안시,천안BIS
CAB285000946,구상골사거리,36.8169929,127.135371,2024-10-28,946.0,34010,충청남도 천안시,천안BIS
CAB285000947,성정동 전자랜드,36.8142555,127.1343088,2024-10-28,947.0,34010,충청남도 천안시,천안BIS
CAB285000948,대우5차아파트,36.8110063,127.13368575,2024-10-28,948.0,34010,충청남도 천안시,천안BIS
CAB285000949,봉명 청솔아파트,36.811046,127.1333588,2024-10-28,949.0,34010,충청남도 천안시,천안BIS
CAB285000950,계광중학교,36.80808965,127.13292741,2024-10-28,950.0,34010,충청남도 천안시,천안BIS
CAB285000951,계광중학교,36.80775156,127.13263627,2024-10-28,951.0,34010,충청남도 천안시,천안BIS
CAB285000952,주공5단지아파트,36.81386294,127.13820241,2024-10-28,952.0,34010,충청남도 천안시,천안BIS
CAB285000953,성정시장(주공5단지),36.81364577,127.13913085,2024-10-28,953.0,34010,충청남도 천안시,천안BIS
CAB285000957,사라리,36.84713795,127.11837131,2024-10-28,957.0,34010,충청남도 천안시,천안BIS
CAB285000958,차암공단입구,36.84914999,127.11759892,2024-10-28,958.0,34010,충청남도 천안시,천안BIS
CAB285000959,차암공단입구,36.84950957,127.11739807,2024-10-28,959.0,34010,충청남도 천안시,천안BIS
CAB285000960,직산대림아파트,36.85989538,127.12056406,2024-10-28,960.0,34010,충청남도 천안시,천안BIS
CAB285000961,천안산업단지관리공단,36.85493571,127.12060558,2024-10-28,961.0,34010,충청남도 천안시,천안BIS
CAB285000962,2공단입구,36.85160962,127.12625241,2024-10-28,962.0,34010,충청남도 천안시,천안BIS
CAB285000964,서북경찰서,36.8568163,127.13651574,2024-10-28,964.0,34010,충청남도 천안시,천안BIS
CAB285000965,서북경찰서,36.85713795,127.13806074,2024-10-28,965.0,34010,충청남도 천안시,천안BIS
CAB285000966,업성초등학교,36.85853298,127.14113574,2024-10-28,966.0,34010,충청남도 천안시,천안BIS
CAB285000968,메가도매센터농수산물도매시장,36.86175799,127.15120241,2024-10-28,968.0,34010,충청남도 천안시,천안BIS
CAB285000969,농수산물도매시장,36.86149465,127.15095075,2024-10-28,969.0,34010,충청남도 천안시,천안BIS
