행정구역,2020년01월_총인구수,2020년02월_총인구수,2020년03월_총인구수,2020년04월_총인구수,2020년05월_총인구수,2020년06월_총인구수,2020년07월_총인구수,2020년08월_총인구수,2020년09월_총인구수,2020년10월_총인구수,2020년11월_총인구수,2020년12월_총인구수,2021년01월_총인구수,2021년02월_총인구수,2021년03월_총인구수,2021년04월_총인구수,2021년05월_총인구수,2021년06월_총인구수,2021년07월_총인구수,2021년08월_총인구수,2021년09월_총인구수,2021년10월_총인구수,2021년11월_총인구수,2021년12월_총인구수,2022년01월_총인구수,2022년02월_총인구수,2022년03월_총인구수,2022년04월_총인구수,2022년05월_총인구수,2022년06월_총인구수,2022년07월_총인구수,2022년08월_총인구수,2022년09월_총인구수,2022년10월_총인구수,2022년11월_총인구수,2022년12월_총인구수,2023년01월_총인구수,2023년02월_총인구수,2023년03월_총인구수,2023년04월_총인구수,2023년05월_총인구수,2023년06월_총인구수,2023년07월_총인구수,2023년08월_총인구수,2023년09월_총인구수,2023년10월_총인구수,2023년11월_총인구수,2023년12월_총인구수,2024년01월_총인구수,2024년02월_총인구수,2024년03월_총인구수,2024년04월_총인구수,2024년05월_총인구수,2024년06월_총인구수,2024년07월_총인구수,2024년08월_총인구수,2024년09월_총인구수,2024년10월_총인구수,2024년11월_총인구수,2024년12월_총인구수
천안시,"652,845","653,816","654,259","654,251","655,192","657,514","658,280","658,212","658,670","658,911","658,977","658,808","658,488","658,295","657,549","657,410","657,775","657,503","657,584","657,250","657,703","658,107","658,465","658,486","658,150","656,925","656,702","657,080","657,241","657,214","657,418","657,612","657,210","657,701","657,821","657,559","656,955","657,417","657,816","657,984","658,213","658,932","658,694","657,839","657,594","657,326","656,583","655,959","655,791","656,478","657,089","657,633","658,266","658,320","658,537","658,731","658,831","659,286","659,800","659,920"
동남구,"259,416","259,558","259,474","259,211","258,857","258,996","259,219","258,942","258,685","258,556","258,269","258,009","257,683","257,397","256,931","256,797","256,482","256,047","255,891","255,532","255,494","255,504","255,471","255,292","255,273","255,083","254,934","254,867","255,332","255,635","255,838","255,997","255,655","255,724","255,640","255,647","255,892","256,729","257,408","257,777","257,972","258,129","257,902","257,591","257,373","257,234","256,942","256,691","257,698","259,111","259,709","260,094","260,432","260,592","260,793","260,764","260,593","260,720","261,076","261,172"
목천음,"24,242","24,216","24,191","24,176","24,163","24,165","24,224","24,207","24,240","24,233","24,240","24,260","24,325","24,342","24,296","24,296","24,275","24,278","24,274","24,268","24,288","24,325","24,340","24,376","24,395","24,352","24,299","24,201","24,154","24,098","24,122","24,076","24,078","24,058","24,064","24,006","23,925","23,817","23,733","23,679","23,617","23,591","23,542","23,507","23,463","23,396","23,340","23,342","23,251","23,081","22,916","22,889","22,872","22,863","22,807","22,722","22,634","22,603","22,508","22,472"
풍세면,"4,185","4,183","4,168","4,164","4,160","4,164","4,165","4,154","4,153","4,156","4,145","4,123","4,129","4,125","4,128","4,116","4,109","4,109","4,107","4,100","4,094","4,080","4,060","4,068","4,073","4,091","4,098","4,084","4,080","4,081","4,080","4,061","4,029","4,017","4,015","4,018","4,014","3,998","4,006","3,994","4,003","3,998","3,981","3,960","3,946","3,951","3,954","3,949","4,513","5,696","6,571","7,362","7,917","8,402","8,854","9,294","9,527","9,706","9,847","9,964"
광덕면,"4,317","4,341","4,329","4,336","4,322","4,343","4,344","4,341","4,331","4,343","4,328","4,323","4,311","4,320","4,314","4,323","4,325","4,315","4,295","4,295","4,298","4,298","4,300","4,301","4,275","4,262","4,254","4,244","4,241","4,222","4,227","4,230","4,221","4,202","4,213","4,211","4,210","4,194","4,202","4,179","4,182","4,168","4,173","4,167","4,158","4,151","4,136","4,133","4,120","4,091","4,085","4,062","4,079","4,074","4,068","4,074","4,075","4,079","4,079","4,060"
북면,"4,394","4,382","4,355","4,355","4,344","4,360","4,370","4,347","4,341","4,339","4,329","4,357","4,345","4,340","4,333","4,355","4,368","4,351","4,357","4,349","4,333","4,341","4,356","4,349","4,356","4,373","4,367","4,352","4,364","4,352","4,349","4,327","4,316","4,298","4,324","4,339","4,320","4,330","4,310","4,308","4,320","4,319","4,317","4,316","4,321","4,285","4,274","4,291","4,279","4,253","4,238","4,235","4,220","4,211","4,213","4,213","4,198","4,200","4,193","4,189"
성남면,"3,294","3,286","3,295","3,292","3,281","3,283","3,289","3,295","3,274","3,249","3,258","3,247","3,211","3,194","3,201","3,191","3,156","3,121","3,125","3,129","3,111","3,100","3,091","3,078","3,083","3,088","3,083","3,062","3,064","3,060","3,059","3,071","3,069","3,073","3,055","3,055","3,042","3,032","3,026","3,031","3,022","3,013","2,999","2,997","2,980","2,959","2,949","2,945","2,938","2,937","2,934","2,930","2,925","2,921","2,916","2,899","2,889","2,874","2,868","2,865"
수신면,"2,324","2,331","2,320","2,316","2,320","2,318","2,328","2,333","2,323","2,327","2,324","2,324","2,310","2,317","2,298","2,269","2,265","2,271","2,272","2,262","2,259","2,261","2,257","2,254","2,261","2,251","2,277","2,276","2,298","2,291","2,273","2,264","2,258","2,254","2,247","2,232","2,219","2,223","2,214","2,224","2,208","2,211","2,207","2,182","2,183","2,178","2,163","2,161","2,160","2,160","2,149","2,141","2,127","2,135","2,140","2,133","2,130","2,123","2,121","2,100"
병천면,"6,219","6,177","6,137","6,139","6,139","6,145","6,135","6,119","6,134","6,124","6,123","6,082","6,057","6,040","6,041","6,037","6,054","6,045","6,088","6,082","6,125","6,138","6,166","6,149","6,198","6,224","6,247","6,264","6,286","6,330","6,342","6,364","6,344","6,351","6,351","6,366","6,323","6,307","6,281","6,262","6,243","6,248","6,244","6,217","6,227","6,229","6,223","6,194","6,152","6,135","6,137","6,098","6,103","6,081","6,077","6,069","6,076","6,075","6,072","6,045"
동면,"2,174","2,181","2,182","2,175","2,170","2,156","2,154","2,146","2,132","2,123","2,126","2,119","2,113","2,108","2,113","2,115","2,113","2,093","2,092","2,088","2,082","2,083","2,075","2,071","2,067","2,059","2,051","2,045","2,043","2,041","2,034","2,034","2,019","2,016","2,019","2,012","2,008","2,010","2,009","2,002","1,997","2,000","1,995","1,982","1,991","1,987","1,989","1,988","1,987","1,987","1,984","1,986","1,981","1,966","1,968","1,962","1,954","1,940","1,930","1,927"
