학교ID,학교명,학교급구분,소재지지번주소,위도,경도
B000005576,광덕초등학교,초등학교,충청남도 천안시 동남구 광덕면 신흥리 318-1,36.69846774,127.1101358
B000010045,광풍중학교,중학교,충청남도 천안시 동남구 풍세면 풍서리 652,36.71527921,127.1155881
B000005555,대홍초등학교,초등학교,충청남도 천안시 서북구 성환읍 수향리 270-1,36.94919431,127.146516
B000005550,도장초등학교,초등학교,충청남도 천안시 동남구 목천읍 도장리 246-1,36.74741778,127.1803506
B000005556,도하초등학교,초등학교,충청남도 천안시 서북구 성환읍 도하리 345-4,36.94878658,127.1668847
B000012904,목천고등학교,고등학교,충청남도 천안시 동남구 목천읍 서리 54-1,36.78283528,127.2318896
B000010039,목천중학교,중학교,충청남도 천안시 동남구 목천읍 서리 54-1,36.78283528,127.2318896
B000005549,목천초등학교,초등학교,충청남도 천안시 동남구 목천읍 서리 1,36.78791236,127.2357226
B000005572,미죽초등학교,초등학교,충청남도 천안시 동남구 풍세면 미죽리 195,36.73782757,127.1504944
B000011599,병천고등학교,고등학교,충청남도 천안시 동남구 병천면 탑원리 146-3,36.76421876,127.3133478
B000010042,병천중학교,중학교,충청남도 천안시 동남구 병천면 탑원리 146-3,36.76421876,127.3133478
B000005567,병천초등학교,초등학교,충청남도 천안시 동남구 병천면 병천리 123,36.76627256,127.3013196
B000005575,보산원초등학교,초등학교,충청남도 천안시 동남구 광덕면 보산원리 683,36.68573333,127.0763129
B000012902,복자여자고등학교,고등학교,충청남도 천안시 동남구 성황동 9-1,36.81554363,127.1523399
B000010037,복자여자중학교,중학교,충청남도 천안시 동남구 성황동 9-1,36.81554363,127.1523399
B000013559,북일고등학교,고등학교,충청남도 천안시 동남구 신부동 245,36.83200106,127.1585854
B000012903,북일여자고등학교,고등학교,충청남도 천안시 동남구 신부동 287,36.83197659,127.1591924
B000005562,삼은초등학교,초등학교,충청남도 천안시 서북구 직산읍 삼은리 76-16,36.87800639,127.1484453
B000005563,성거초등학교,초등학교,충청남도 천안시 서북구 성거읍 송남리 18-1,36.87170263,127.1996945
B000005571,성남초등학교,초등학교,충청남도 천안시 동남구 성남면 신덕리 774,36.72744812,127.2510197
B000005558,성신초등학교,초등학교,충청남도 천안시 서북구 성환읍 성환리 449-5,36.91908802,127.1290902
B000012905,성환고등학교,고등학교,충청남도 천안시 서북구 성환읍 송덕리 55,36.92382051,127.1155928
B000010040,성환중학교,중학교,충청남도 천안시 서북구 성환읍 성환리 358-1,36.91469553,127.1310809
B000005557,성환초등학교,초등학교,충청남도 천안시 서북구 성환읍 성환리 274-2,36.91804635,127.1324178
B000005564,소망초등학교,초등학교,충청남도 천안시 서북구 성거읍 소우리 188-29,36.87590687,127.1623964
B000005569,수신초등학교,초등학교,충청남도 천안시 동남구 수신면 속창리 139,36.73328424,127.2831008
B000005554,신가초등학교,초등학교,충청남도 천안시 서북구 성환읍 신가리 377-3,36.95101251,127.1145182
